usr1,grp102
usr1,z,loc2658
usr2,grp181
usr2,y,loc848
usr3,grp9
usr4,grp85
usr5,grp92
usr6,grp16
usr7,grp46
usr8,grp13
usr9,grp127
usr9,x,loc3594
usr10,grp34
usr10,y,loc3581
usr11,grp183
usr11,x,loc2356
usr12,grp79
usr12,y,loc1530
usr13,grp151
usr14,grp187
usr15,grp45
usr16,grp130
usr17,grp99
usr18,grp173
usr18,x,loc3762
usr19,grp86
usr20,grp23
usr21,grp173
usr21,x,loc2404
usr22,grp11
usr23,grp97
usr23,y,loc3239
usr24,grp167
usr24,z,loc3673
usr25,grp169
usr25,z,loc1661
usr26,grp57
usr26,z,loc4726
usr27,grp127
usr28,grp60
usr28,y,loc3337
usr29,grp183
usr30,grp191
usr30,y,loc689
usr31,grp74
usr31,z,loc1528
usr32,grp49
usr33,grp158
usr33,y,loc1737
usr34,grp15
usr35,grp196
usr36,grp120
usr37,grp159
usr37,x,loc2827
usr38,grp96
usr39,grp112
usr40,grp74
usr40,x,loc9
usr41,grp23
usr41,x,loc1140
usr42,grp195
usr43,grp180
usr44,grp98
usr44,y,loc4958
usr45,grp159
usr45,y,loc3909
usr46,grp86
usr47,grp131
usr47,x,loc1576
usr48,grp49
usr48,z,loc2991
usr49,grp46
usr49,z,loc4007
usr50,grp3
usr51,grp121
usr51,x,loc1482
usr52,grp149
usr52,x,loc1658
usr53,grp117
usr54,grp144
usr54,x,loc1079
usr55,grp152
usr56,grp139
usr56,z,loc1847
usr57,grp174
usr57,x,loc1366
usr58,grp193
usr58,z,loc2777
usr59,grp160
usr59,z,loc2796
usr60,grp83
usr60,x,loc3231
usr61,grp41
usr61,z,loc1423
usr62,grp88
usr63,grp121
usr64,grp171
usr64,y,loc2774
usr65,grp105
usr66,grp53
usr66,z,loc4304
usr67,grp53
usr68,grp72
usr69,grp25
usr69,y,loc3230
usr70,grp69
usr70,y,loc2176
usr71,grp179
usr72,grp102
usr72,z,loc606
usr73,grp48
usr74,grp99
usr75,grp111
usr75,z,loc4917
usr76,grp47
usr76,x,loc780
usr77,grp111
usr78,grp120
usr79,grp81
usr80,grp65
usr80,y,loc4274
usr81,grp185
usr81,z,loc2208
usr82,grp18
usr83,grp122
usr84,grp83
usr84,y,loc507
usr85,grp24
usr86,grp137
usr86,x,loc1321
usr87,grp41
usr87,z,loc2520
usr88,grp35
usr89,grp187
usr90,grp115
usr90,y,loc4479
usr91,grp145
usr91,z,loc1594
usr92,grp28
usr93,grp59
usr93,z,loc4387
usr94,grp118
usr95,grp148
usr95,x,loc3297
usr96,grp135
usr97,grp143
usr98,grp136
usr99,grp1
usr100,grp157
usr100,z,loc3461
usr101,grp148
usr102,grp13
usr102,x,loc920
usr103,grp99
usr104,grp27
usr105,grp109
usr105,z,loc4088
usr106,grp164
usr107,grp19
usr108,grp123
usr108,x,loc2271
usr109,grp192
usr109,z,loc3769
usr110,grp177
usr111,grp87
usr112,grp132
usr112,z,loc193
usr113,grp8
usr113,x,loc1745
usr114,grp104
usr115,grp23
usr115,z,loc904
usr116,grp42
usr117,grp83
usr117,z,loc4456
usr118,grp105
usr118,y,loc506
usr119,grp123
usr119,z,loc2133
usr120,grp95
usr120,y,loc119
usr121,grp134
usr122,grp87
usr123,grp171
usr124,grp98
usr125,grp53
usr126,grp183
usr127,grp9
usr127,y,loc2428
usr128,grp119
usr129,grp29
usr130,grp94
usr130,y,loc2715
usr131,grp1
usr132,grp183
usr133,grp63
usr133,x,loc2618
usr134,grp169
usr134,y,loc4134
usr135,grp76
usr135,z,loc3966
usr136,grp176
usr136,z,loc561
usr137,grp77
usr137,z,loc4263
usr138,grp138
usr138,z,loc78
usr139,grp84
usr140,grp40
usr140,z,loc190
usr141,grp88
usr141,y,loc4323
usr142,grp188
usr142,z,loc3480
usr143,grp99
usr143,y,loc2066
usr144,grp151
usr144,x,loc2248
usr145,grp155
usr145,x,loc3418
usr146,grp72
usr147,grp114
usr147,z,loc4802
usr148,grp82
usr149,grp164
usr149,x,loc2304
usr150,grp94
usr150,x,loc1350
usr151,grp10
usr151,y,loc1705
usr152,grp139
usr152,y,loc2807
usr153,grp150
usr154,grp110
usr155,grp194
usr156,grp69
usr156,x,loc2706
usr157,grp79
usr157,z,loc4513
usr158,grp101
usr158,y,loc3230
usr159,grp185
usr159,z,loc191
usr160,grp199
usr161,grp33
usr162,grp81
usr162,y,loc3110
usr163,grp163
usr164,grp19
usr164,z,loc1351
usr165,grp161
usr166,grp105
usr166,y,loc2517
usr167,grp104
usr168,grp118
usr168,x,loc2734
usr169,grp25
usr169,z,loc4746
usr170,grp147
usr171,grp103
usr171,x,loc1675
usr172,grp99
usr172,x,loc4997
usr173,grp62
usr173,x,loc3593
usr174,grp51
usr175,grp54
usr175,y,loc4309
usr176,grp191
usr176,z,loc3923
usr177,grp144
usr177,x,loc4898
usr178,grp2
usr178,x,loc497
usr179,grp83
usr180,grp189
usr181,grp118
usr181,z,loc4441
usr182,grp139
usr183,grp75
usr183,y,loc2325
usr184,grp21
usr185,grp140
usr185,y,loc2803
usr186,grp34
usr187,grp136
usr187,x,loc857
usr188,grp78
usr188,y,loc264
usr189,grp55
usr190,grp68
usr190,z,loc553
usr191,grp162
usr192,grp123
usr193,grp183
usr193,x,loc2085
usr194,grp95
usr195,grp53
usr196,grp192
usr196,z,loc3425
usr197,grp152
usr198,grp122
usr199,grp145
usr199,z,loc2555
usr200,grp42
usr200,y,loc3147
usr201,grp73
usr201,y,loc144
usr202,grp152
usr203,grp121
usr204,grp179
usr205,grp165
usr205,z,loc4527
usr206,grp176
usr207,grp162
usr207,x,loc2262
usr208,grp3
usr209,grp58
usr210,grp188
usr211,grp81
usr212,grp198
usr212,z,loc1649
usr213,grp66
usr214,grp67
usr215,grp79
usr216,grp114
usr216,x,loc2571
usr217,grp87
usr218,grp15
usr219,grp187
usr220,grp120
usr221,grp76
usr221,x,loc3873
usr222,grp47
usr223,grp73
usr223,z,loc4920
usr224,grp128
usr224,z,loc4405
usr225,grp164
usr225,x,loc536
usr226,grp49
usr226,y,loc4758
usr227,grp125
usr227,x,loc359
usr228,grp120
usr228,x,loc1483
usr229,grp31
usr229,y,loc4157
usr230,grp66
usr231,grp28
usr231,y,loc3509
usr232,grp104
usr233,grp162
usr234,grp134
usr234,x,loc4358
usr235,grp89
usr236,grp43
usr236,z,loc577
usr237,grp66
usr238,grp45
usr238,x,loc2449
usr239,grp45
usr239,z,loc167
usr240,grp5
usr240,z,loc4018
usr241,grp120
usr242,grp133
usr243,grp183
usr243,y,loc1107
usr244,grp117
usr245,grp174
usr246,grp122
usr247,grp132
usr248,grp197
usr249,grp26
usr249,y,loc3749
usr250,grp145
usr250,z,loc3221
usr251,grp94
usr252,grp6
usr252,y,loc4461
usr253,grp13
