grp1,y,loc446
grp1,grp74
grp2,y,loc885
grp2,grp88
grp3,x,loc38
grp3,grp56
grp4,z,loc735
grp4,grp79
grp5,x,loc152
grp5,grp100
grp6,y,loc534
grp7,y,loc34
grp8,z,loc99
grp8,grp31
grp9,x,loc776
grp9,grp47
grp10,z,loc958
grp10,grp70
grp11,y,loc95
grp12,x,loc866
grp12,grp41
grp13,z,loc185
grp14,z,loc21
grp14,grp70
grp15,z,loc136
grp16,x,loc226
grp16,grp29
grp17,z,loc826
grp17,grp13
grp18,z,loc551
grp18,grp76
grp19,z,loc196
grp20,y,loc119
grp20,grp16
grp21,z,loc771
grp21,grp4
grp22,z,loc581
grp22,grp73
grp23,y,loc873
grp23,grp86
grp24,x,loc447
grp24,grp44
grp25,z,loc353
grp26,z,loc241
grp27,x,loc764
grp28,z,loc749
grp28,grp40
grp29,y,loc187
grp30,z,loc224
grp31,z,loc43
grp31,grp7
grp32,x,loc210
grp33,z,loc375
grp34,x,loc697
grp35,z,loc8
grp36,y,loc850
grp36,grp48
grp37,z,loc821
grp37,grp27
grp38,x,loc902
grp39,x,loc265
grp40,y,loc945
grp41,z,loc503
grp42,y,loc608
grp43,z,loc678
grp43,grp38
grp44,y,loc668
grp44,grp36
grp45,y,loc657
grp46,z,loc584
grp46,grp64
grp47,x,loc459
grp47,grp59
grp48,z,loc337
grp48,grp66
grp49,y,loc437
grp49,grp48
grp50,x,loc25
grp51,y,loc265
grp51,grp9
grp52,z,loc458
grp52,grp3
grp53,y,loc69
grp53,grp17
grp54,y,loc446
grp54,grp79
grp55,y,loc752
grp55,grp79
grp56,x,loc11
grp56,grp22
grp57,x,loc561
grp58,x,loc642
grp59,z,loc467
grp60,x,loc335
grp61,x,loc615
grp61,grp44
grp62,z,loc370
grp63,z,loc519
grp64,y,loc610
grp65,z,loc394
grp66,x,loc307
grp67,y,loc384
grp67,grp32
grp68,z,loc516
grp69,y,loc62
grp69,grp54
grp70,y,loc397
grp71,y,loc347
grp72,z,loc600
grp72,grp3
grp73,y,loc850
grp73,grp63
grp74,z,loc643
grp75,y,loc998
grp76,x,loc352
grp76,grp13
grp77,x,loc499
grp78,y,loc323
grp78,grp89
grp79,z,loc227
grp80,y,loc793
grp81,x,loc906
grp81,grp33
grp82,x,loc664
grp83,x,loc663
grp84,y,loc984
grp84,grp99
grp85,z,loc213
grp85,grp56
grp86,z,loc607
grp86,grp22
grp87,z,loc232
grp88,x,loc922
grp88,grp4
grp89,x,loc929
grp90,x,loc622
grp90,grp36
grp91,y,loc684
grp91,grp70
grp92,y,loc307
grp93,z,loc637
grp94,y,loc259
grp95,z,loc369
grp96,z,loc391
grp96,grp68
grp97,x,loc715
grp98,z,loc991
grp98,grp28
grp99,z,loc583
grp100,x,loc389
